Name,Position,Birthdate,Height,Foot,GamesPlayed,Debut,Value,Year,Category
Elia Pecora,Torwart,11.01.2007 (16),-, ,-,,-,2022,28436
Lionel Huwiler,Torwart,17.02.2007 (16),"1,94m",rechts,1,05.05.2022,-,2022,28436
Til Büchler,Abwehr,31.12.2007 (15),-, ,2,03.05.2022,-,2022,28436
Adrien Bernhardsgrütter,Abwehr,20.03.2007 (16),-, ,1,24.05.2022,-,2022,28436
Marvin Akahomen,Innenverteidiger,15.07.2007 (15),"1,86m",links,2,03.05.2022,-,2022,28436
Giuliano Bieri,Innenverteidiger,29.08.2007 (15),-, ,2,24.05.2022,-,2022,28436
Eman Kospo,Innenverteidiger,17.05.2007 (16),"1,91m",rechts,2,03.05.2022,-,2022,28436
Leart Salihu,Innenverteidiger,14.02.2007 (16),-, ,1,05.05.2022,-,2022,28436
Neil Volken,Linker Verteidiger,23.04.2007 (16),-,links,2,03.05.2022,-,2022,28436
Valentin Beck,Linker Verteidiger,20.01.2007 (16),-, ,2,24.05.2022,-,2022,28436
Ryan Bucher,Linker Verteidiger,13.03.2007 (16),-, ,1,25.05.2022,-,2022,28436
Romeo Philippin,Linker Verteidiger,14.05.2007 (16),-,links,2,03.05.2022,-,2022,28436
Gabriel Bechinger,Rechter Verteidiger,11.02.2007 (16),-, ,2,24.05.2022,-,2022,28436
Ruben Gomez,Rechter Verteidiger,01.02.2007 (16),-,rechts,2,03.05.2022,-,2022,28436
Mathys Rau,Rechter Verteidiger,03.01.2007 (16),-, ,1,05.05.2022,-,2022,28436
Simon Graber,Rechter Verteidiger,19.03.2007 (16),-, ,2,24.05.2022,-,2022,28436
Jamiro Huber,Mittelfeld,15.11.2007 (15),-, ,2,24.05.2022,-,2022,28436
Elio Rufener,Defensives Mittelfeld,12.02.2007 (16),-,links,2,03.05.2022,-,2022,28436
Enis Nimoni,Defensives Mittelfeld,14.01.2007 (16),-, ,2,24.05.2022,-,2022,28436
Alessio Burkhardt,Mittelfeld,22.01.2007 (16),-, ,1,03.05.2022,-,2022,28436
Yusupha Touray,Defensives Mittelfeld,13.04.2007 (16),-, ,2,24.05.2022,-,2022,28436
Ilija Maslarov,Defensives Mittelfeld,02.01.2007 (16),"1,81m",rechts,2,03.05.2022,-,2022,28436
Eronis Haxhiu,Defensives Mittelfeld,09.09.2007 (15),-, ,2,24.05.2022,-,2022,28436
Gjan Ajdin,Defensives Mittelfeld,13.01.2007 (16),"1,86m",rechts,2,03.05.2022,-,2022,28436
Elmedin Schaller,Mittelfeld,22.01.2007 (16),-, ,2,03.05.2022,-,2022,28436
Gabriel Marotta,Mittelfeld,24.01.2007 (16),-, ,2,24.05.2022,-,2022,28436
Mio Zimmermann,Zentrales Mittelfeld,08.08.2007 (15),-, ,2,24.05.2022,-,2022,28436
Eliano Guido,Zentrales Mittelfeld,04.04.2007 (16),-, ,2,03.05.2022,-,2022,28436
Philipp Muff,Zentrales Mittelfeld,12.05.2007 (16),-, ,2,24.05.2022,-,2022,28436
Evin Oektem,Linkes Mittelfeld,25.01.2007 (16),-, ,2,24.05.2022,-,2022,28436
Cris Ilis,Offensives Mittelfeld,02.04.2007 (16),-, ,2,03.05.2022,-,2022,28436
Eduardo Iezzi Penteado,Offensives Mittelfeld,11.10.2007 (15),-, ,2,24.05.2022,-,2022,28436
Zidan Tairi,Offensives Mittelfeld,17.04.2007 (16),"1,74m", ,2,03.05.2022,-,2022,28436
Christian Raffa,Linksaußen,07.04.2007 (16),-, ,2,24.05.2022,-,2022,28436
Loris Macumi,Linksaußen,04.01.2007 (16),-, ,2,24.05.2022,-,2022,28436
Agon Rexhaj,Rechtsaußen,24.03.2007 (16),-,links,2,03.05.2022,-,2022,28436
Lias Sutter,Sturm,29.01.2007 (16),-, ,2,24.05.2022,-,2022,28436
Dion Cakolli,Mittelstürmer,07.06.2007 (16),"1,86m",rechts,2,03.05.2022,-,2022,28436
Melvin Hodza,Mittelstürmer,15.05.2007 (16),-, ,2,24.05.2022,-,2022,28436
Tugra Turhan,Mittelstürmer,09.08.2007 (15),-, ,2,03.05.2022,-,2022,28436
Mahé Guaico,Sturm,17.11.2007 (15),-, ,2,24.05.2022,-,2022,28436
Miguel Mardochée,Mittelstürmer,22.05.2007 (16),"1,72m",links,2,03.05.2022,-,2022,28436
Fabio Titone Marques,Torwart,05.02.2004 (16),"1,75m", ,2,07.05.2019,-,2019,28436
Brian Atangana,Torwart,22.01.2004 (16),"1,88m",rechts,1,17.04.2019,-,2019,28436
Tim Spycher,Torwart,13.04.2004 (16),"1,87m",rechts,2,16.04.2019,-,2019,28436
Lukas Steiner,Torwart,10.01.2004 (16),-, ,1,08.05.2019,-,2019,28436
Mischa Beeli,Innenverteidiger,05.02.2004 (16),"1,82m",rechts,2,16.04.2019,-,2019,28436
Santiago Pedrazzini,Innenverteidiger,04.04.2004 (16),"1,86m", ,4,16.04.2019,-,2019,28436
Pascal Hammer,Innenverteidiger,20.01.2004 (16),"1,84m",rechts,4,16.04.2019,-,2019,28436
Dion Dermaku,Innenverteidiger,21.08.2004 (15),"1,88m",rechts,2,07.05.2019,-,2019,28436
Ramon Guzzo ,Linker Verteidiger,05.07.2004 (15),"1,76m",links,4,16.04.2019,-,2019,28436
Leny Meyer,Linker Verteidiger,01.07.2004 (15),"1,82m",links,4,07.05.2019,-,2019,28436
Filipe Morais Alves,Linker Verteidiger,04.01.2004 (16),-,links,2,07.05.2019,-,2019,28436
Exaucé Luwawa,Linker Verteidiger,26.08.2004 (15),"1,73m",links,2,07.05.2019,-,2019,28436
Ledjan Sahitaj,Rechter Verteidiger,12.01.2004 (16),"1,85m",rechts,2,21.05.2019,-,2019,28436
Ciril Pahud,Rechter Verteidiger,25.03.2004 (16),-, ,4,16.04.2019,-,2019,28436
Ethan Brandy,Rechter Verteidiger,10.11.2004 (15),"1,82m",rechts,2,07.05.2019,-,2019,28436
Leon Avdullahu,Defensives Mittelfeld,23.02.2004 (16),"1,85m",rechts,4,16.04.2019,-,2019,28436
Joss Marques,Defensives Mittelfeld,14.01.2004 (16),-, ,4,07.05.2019,-,2019,28436
Philipp Novakovic,Defensives Mittelfeld,23.02.2004 (16),-, ,2,16.04.2019,-,2019,28436
Joël Mandaka,Zentrales Mittelfeld,12.03.2004 (16),"1,70m",links,4,07.05.2019,-,2019,28436
Liburn Azemi,Zentrales Mittelfeld,23.09.2004 (15),"1,83m", ,2,07.05.2019,-,2019,28436
Burak Alili,Zentrales Mittelfeld,11.02.2004 (16),"1,80m", ,2,16.04.2019,-,2019,28436
Nathan Wicht ,Zentrales Mittelfeld,20.02.2004 (16),"1,85m",rechts,4,16.04.2019,-,2019,28436
Fred Annor-Mensah,Zentrales Mittelfeld,26.08.2004 (15),-, ,4,16.04.2019,-,2019,28436
Liam Chipperfield,Zentrales Mittelfeld,14.02.2004 (16),"1,78m",links,4,16.04.2019,-,2019,28436
Elias Maluvunu,Rechtes Mittelfeld,03.08.2004 (15),"1,82m",rechts,3,16.04.2019,-,2019,28436
Francesco Di Maggio,Rechtes Mittelfeld,18.03.2004 (16),"1,70m", ,2,16.04.2019,-,2019,28436
Robin Schneider,Rechtes Mittelfeld,21.08.2004 (15),-, ,2,07.05.2019,-,2019,28436
Eric Jorge,Rechtes Mittelfeld,06.02.2004 (16),-, ,2,07.05.2019,-,2019,28436
Levin Schneider,Rechtes Mittelfeld,21.08.2004 (15),-, ,2,07.05.2019,-,2019,28436
Ronaldo Dantas Fernandes,Offensives Mittelfeld,13.12.2004 (15),"1,69m",links,4,07.05.2019,-,2019,28436
Nik Dubler,Offensives Mittelfeld,02.04.2004 (16),"1,71m", ,4,07.05.2019,-,2019,28436
Vincent Spari ,Offensives Mittelfeld,03.01.2004 (16),"1,80m",beidfüßig,2,16.04.2019,-,2019,28436
Samy Muhammad,Offensives Mittelfeld,20.04.2004 (16),-, ,4,07.05.2019,-,2019,28436
Levy Maltet,Linksaußen,27.06.2004 (16),"1,80m",links,2,07.05.2019,-,2019,28436
Luuk Breedijk,Linksaußen,20.02.2004 (16),"1,85m",rechts,2,07.05.2019,-,2019,28436
Jared Lembo,Linksaußen,08.04.2004 (16),"1,70m", ,2,16.04.2019,-,2019,28436
Edon Berisha,Linksaußen,03.01.2004 (16),"1,80m",rechts,4,16.04.2019,-,2019,28436
Cristian Bleisch,Rechtsaußen,20.04.2004 (16),"1,70m", ,4,16.04.2019,-,2019,28436
Silva Luvualo Simao,Mittelstürmer,18.04.2004 (16),-, ,4,07.05.2019,-,2019,28436
Joel Campbell,Mittelstürmer,05.02.2004 (16),-, ,2,21.05.2019,-,2019,28436
David Piffero,Mittelstürmer,03.01.2004 (16),"1,87m",rechts,2,07.05.2019,-,2019,28436
Federico Crescenti ,Mittelstürmer,13.07.2004 (15),"1,73m",rechts,2,16.04.2019,-,2019,28436
Marvin Hübel,Torwart,01.03.2003 (16),"1,86m",rechts,6,19.09.2017,250 Tsd. €,2018,28436
Ysias Hummel,Torwart,26.03.2003 (16),"1,80m", ,1,17.04.2018,-,2018,28436
Marko Bozinovic,Innenverteidiger,10.02.2003 (16),"1,76m", ,4,19.09.2017,-,2018,28436
Christian Marques,Innenverteidiger,15.01.2003 (16),"1,88m",rechts,6,19.09.2017,-,2018,28436
Albian Hajdari,Innenverteidiger,18.05.2003 (16),"1,89m",links,4,17.04.2018,-,2018,28436
Bryan Okoh ,Innenverteidiger,16.05.2003 (16),"1,88m",links,8,19.09.2017,-,2018,28436
Mauricio Willimann,Innenverteidiger,16.01.2003 (16),"1,83m",rechts,7,19.09.2017,-,2018,28436
Luis Mestre,Linker Verteidiger,05.03.2003 (16),"1,74m",links,6,19.09.2017,-,2018,28436
Théo Magnin,Rechter Verteidiger,09.08.2003 (15),"1,71m",rechts,7,19.09.2017,-,2018,28436
Alejandro Willimann,Defensives Mittelfeld,16.01.2003 (16),"1,84m",rechts,4,17.10.2017,-,2018,28436
Besnik Shala,Defensives Mittelfeld,13.05.2003 (16),"1,77m", ,7,19.09.2017,-,2018,28436
Evan Berrut,Defensives Mittelfeld,24.03.2003 (16),"1,72m",links,5,19.09.2017,-,2018,28436
Miguel Reichmuth,Zentrales Mittelfeld,26.10.2003 (15),"1,71m",rechts,6,19.09.2017,-,2018,28436
Luca Spina,Rechtes Mittelfeld,22.02.2003 (16),"1,68m",links,2,17.04.2018,-,2018,28436
Dominic Maurer,Linkes Mittelfeld,02.06.2003 (16),-, ,6,19.09.2017,-,2018,28436
Carmine Chiappetta,Linkes Mittelfeld,09.03.2003 (16),"1,75m",rechts,7,19.09.2017,-,2018,28436
Joël Ribeiro,Offensives Mittelfeld,14.02.2003 (16),"1,79m", ,7,19.09.2017,-,2018,28436
Kristian Sekularac,Offensives Mittelfeld,07.12.2003 (15),"1,85m",rechts,7,19.09.2017,-,2018,28436
Till Mühlethaler,Mittelstürmer,07.08.2003 (15),"1,80m", ,6,19.09.2017,-,2018,28436
Bradley Fink,Mittelstürmer,17.04.2003 (16),"1,92m",links,7,19.09.2017,-,2018,28436
Momodou Jaiteh,Mittelstürmer,27.11.2004 (14),"1,75m",rechts,8,19.09.2017,-,2018,28436
Kosta Makripodis,Torwart,26.03.2002 (16),-, ,-,,-,2017,28436
Marvin Hübel,Torwart,01.03.2003 (15),"1,86m",rechts,6,19.09.2017,-,2017,28436
Joël Bonorand,Torwart,11.02.2002 (16),-, ,4,15.09.2016,-,2017,28436
Matthias Grob,Torwart,20.02.2003 (15),"1,88m",rechts,4,19.09.2017,-,2017,28436
Leonidas Stergiou,Innenverteidiger,03.03.2002 (16),"1,81m",rechts,6,13.09.2016,-,2017,28436
Louis Lurvink,Innenverteidiger,24.01.2002 (16),"1,87m",rechts,2,16.05.2017,-,2017,28436
Noah Henchoz,Innenverteidiger,22.02.2002 (16),"1,82m",rechts,2,25.04.2017,-,2017,28436
Marko Bozinovic,Innenverteidiger,10.02.2003 (15),"1,76m", ,4,19.09.2017,-,2017,28436
Bung Tsai Freimann,Innenverteidiger,04.07.2002 (15),"1,75m", ,4,15.09.2016,-,2017,28436
Christian Marques,Innenverteidiger,15.01.2003 (15),"1,88m",rechts,6,19.09.2017,-,2017,28436
Mauricio Willimann,Innenverteidiger,16.01.2003 (15),"1,83m",rechts,7,19.09.2017,-,2017,28436
Luca Jaquez,Innenverteidiger,02.06.2003 (15),"1,87m",rechts,2,19.09.2017,-,2017,28436
Becir Omeragic ,Innenverteidiger,20.01.2002 (16),"1,87m",rechts,7,13.09.2016,-,2017,28436
Bryan Okoh ,Innenverteidiger,16.05.2003 (15),"1,88m",links,8,19.09.2017,-,2017,28436
Ludovic Delley,Linker Verteidiger,29.06.2002 (16),-, ,4,,-,2017,28436
Théo Gradaille,Linker Verteidiger,24.06.2002 (16),"1,77m",links,1,27.04.2017,-,2017,28436
Luis Mestre,Linker Verteidiger,05.03.2003 (15),"1,74m",links,6,19.09.2017,-,2017,28436
Diego Corvalan,Rechter Verteidiger,17.02.2002 (16),"1,78m",rechts,5,,-,2017,28436
Théo Magnin,Rechter Verteidiger,09.08.2003 (14),"1,71m",rechts,7,19.09.2017,-,2017,28436
Evan Berrut,Defensives Mittelfeld,24.03.2003 (15),"1,72m",links,5,19.09.2017,-,2017,28436
Cameron Prats,Defensives Mittelfeld,29.05.2002 (16),-, ,5,13.09.2016,-,2017,28436
Alejandro Willimann,Defensives Mittelfeld,16.01.2003 (15),"1,84m",rechts,4,17.10.2017,-,2017,28436
Joaquim Bitz,Defensives Mittelfeld,25.11.2002 (15),"1,72m",rechts,-,,-,2017,28436
Yanis Ayad,Defensives Mittelfeld,13.03.2003 (15),-, ,2,17.10.2017,-,2017,28436
Besnik Shala,Defensives Mittelfeld,13.05.2003 (15),"1,77m", ,7,19.09.2017,-,2017,28436
Mischa Eberhard,Zentrales Mittelfeld,11.04.2002 (16),"1,73m",rechts,4,18.10.2016,-,2017,28436
Miguel Reichmuth,Zentrales Mittelfeld,26.10.2003 (14),"1,71m",rechts,6,19.09.2017,-,2017,28436
Mihailo Stevanovic,Zentrales Mittelfeld,04.01.2002 (16),"1,86m",rechts,4,15.09.2016,-,2017,28436
Josip Brnic,Rechtes Mittelfeld,27.05.2002 (16),-,rechts,6,13.09.2016,-,2017,28436
Kevin Jakob,Rechtes Mittelfeld,30.05.2002 (16),"1,75m", ,1,27.04.2017,-,2017,28436
Carmine Chiappetta,Linkes Mittelfeld,09.03.2003 (15),"1,75m",rechts,7,19.09.2017,-,2017,28436
Dominic Maurer,Linkes Mittelfeld,02.06.2003 (15),-, ,6,19.09.2017,-,2017,28436
Kristian Sekularac,Offensives Mittelfeld,07.12.2003 (14),"1,85m",rechts,7,19.09.2017,-,2017,28436
Sandro Di Nucci,Offensives Mittelfeld,18.01.2002 (16),"1,71m",links,3,20.10.2016,-,2017,28436
Joël Ribeiro,Offensives Mittelfeld,14.02.2003 (15),"1,79m", ,7,19.09.2017,-,2017,28436
Fabian Rieder,Offensives Mittelfeld,16.02.2002 (16),"1,79m",links,7,13.09.2016,-,2017,28436
Sébastien Moulin,Offensives Mittelfeld,23.05.2002 (16),"1,77m",links,2,13.09.2016,-,2017,28436
Noah Delacombaz,Linksaußen,26.09.2002 (15),-, ,-,,-,2017,28436
Yannick Cotter,Linksaußen,03.01.2002 (16),"1,76m",links,5,13.09.2016,-,2017,28436
Abiran Sambasivam,Linksaußen,12.01.2002 (16),-, ,4,13.09.2016,-,2017,28436
Till Mühlethaler,Mittelstürmer,07.08.2003 (14),"1,80m", ,6,19.09.2017,-,2017,28436
Jonathan De Donno ,Mittelstürmer,16.02.2002 (16),"1,93m",rechts,1,25.04.2017,-,2017,28436
Matteo Regillo,Mittelstürmer,24.04.2002 (16),"1,71m", ,1,18.05.2017,-,2017,28436
Momodou Jaiteh,Mittelstürmer,27.11.2004 (13),"1,75m",rechts,8,19.09.2017,-,2017,28436
Bradley Fink,Mittelstürmer,17.04.2003 (15),"1,92m",links,7,19.09.2017,-,2017,28436
Noah Ruef,Sturm,02.03.2003 (15),-, ,4,19.09.2017,-,2017,28436
Niklas Steffen,Torwart,19.01.2001 (16),"1,87m",rechts,1,26.05.2016,-,2016,28436
Kosta Makripodis,Torwart,26.03.2002 (15),-, ,-,,-,2016,28436
André Pinheiro,Torwart,19.04.2001 (16),-, ,2,22.09.2015,-,2016,28436
Joël Bonorand,Torwart,11.02.2002 (15),-, ,4,15.09.2016,-,2016,28436
Yuri-Gino Klein,Torwart,25.01.2001 (16),"1,93m", ,1,26.05.2016,-,2016,28436
Lucio Soldini,Torwart,05.04.2001 (16),"1,79m",rechts,-,,-,2016,28436
Leandro Zbinden,Torwart,30.07.2002 (14),"1,86m",rechts,1,18.10.2016,-,2016,28436
Edin Omeragic,Torwart,20.03.2002 (15),"1,97m",rechts,2,13.09.2016,-,2016,28436
Leonidas Stergiou,Innenverteidiger,03.03.2002 (15),"1,81m",rechts,6,13.09.2016,-,2016,28436
Elias Mesonero ,Innenverteidiger,27.03.2001 (16),"1,85m",rechts,2,24.05.2016,-,2016,28436
Bung Tsai Freimann,Innenverteidiger,04.07.2002 (14),"1,75m", ,4,15.09.2016,-,2016,28436
Elmedin Fazlic,Innenverteidiger,18.07.2002 (14),"1,88m",links,1,15.09.2016,-,2016,28436
Becir Omeragic ,Innenverteidiger,20.01.2002 (15),"1,87m",rechts,7,13.09.2016,-,2016,28436
Brian Staubli,Innenverteidiger,27.02.2001 (16),-, ,4,27.04.2016,-,2016,28436
Stevan Lujic,Linker Verteidiger,25.03.2002 (15),"1,80m",links,3,13.09.2016,-,2016,28436
Ashvin Balaruban,Linker Verteidiger,08.08.2001 (15),"1,76m",links,1,28.04.2016,-,2016,28436
Gianluca Romano,Linker Verteidiger,12.06.2001 (16),"1,79m",rechts,6,22.09.2015,-,2016,28436
Daniele Del Fante,Linker Verteidiger,22.01.2002 (15),-, ,1,20.10.2016,-,2016,28436
Jérôme Läubli,Linker Verteidiger,28.03.2001 (16),"1,70m",links,4,22.09.2015,-,2016,28436
Robin Wildhaber,Linker Verteidiger,30.01.2002 (15),"1,77m", ,3,13.09.2016,-,2016,28436
Lewin Blum,Rechter Verteidiger,27.07.2001 (15),"1,81m",rechts,4,,-,2016,28436
Lukas Aeberli,Rechter Verteidiger,03.01.2001 (16),-, ,1,28.04.2016,-,2016,28436
Ruben Correia ,Rechter Verteidiger,06.01.2002 (15),"1,66m",rechts,3,15.09.2016,-,2016,28436
Diego Corvalan,Rechter Verteidiger,17.02.2002 (15),"1,78m",rechts,5,,-,2016,28436
Loïc Vlapamo,Rechter Verteidiger,02.03.2001 (16),"1,72m", ,4,22.09.2015,-,2016,28436
Yannick Scheidegger,Defensives Mittelfeld,03.05.2001 (16),"1,72m",links,1,26.05.2016,-,2016,28436
Adrian Durrer,Defensives Mittelfeld,13.07.2001 (15),"1,88m",rechts,3,22.09.2015,-,2016,28436
Cameron Prats,Defensives Mittelfeld,29.05.2002 (15),-, ,5,13.09.2016,-,2016,28436
David Mistrafovic,Defensives Mittelfeld,25.05.2001 (16),"1,88m",links,2,28.04.2016,-,2016,28436
Jon Vula,Zentrales Mittelfeld,12.01.2002 (15),"1,90m",rechts,2,13.09.2016,-,2016,28436
Stéphane Cueni,Zentrales Mittelfeld,14.03.2001 (16),"1,80m",rechts,-,,-,2016,28436
Mathis Holcbecher,Zentrales Mittelfeld,21.01.2001 (16),"1,84m", ,2,26.05.2016,-,2016,28436
Ricardo Alves,Zentrales Mittelfeld,02.12.2001 (15),"1,77m",links,1,26.05.2016,-,2016,28436
Mihailo Stevanovic,Zentrales Mittelfeld,04.01.2002 (15),"1,86m",rechts,4,15.09.2016,-,2016,28436
Glenn Hux,Zentrales Mittelfeld,18.01.2001 (16),-, ,1,26.05.2016,-,2016,28436
Simon Sohm,Zentrales Mittelfeld,11.04.2001 (16),"1,88m",rechts,1,28.04.2016,-,2016,28436
Mischa Eberhard,Zentrales Mittelfeld,11.04.2002 (15),"1,73m",rechts,4,18.10.2016,-,2016,28436
Alexandre Jankewitz ,Zentrales Mittelfeld,25.12.2001 (15),"1,85m",rechts,5,22.09.2015,-,2016,28436
Orges Bunjaku,Zentrales Mittelfeld,05.07.2001 (15),"1,80m",links,3,27.04.2016,-,2016,28436
Aramis Rohner,Rechtes Mittelfeld,18.02.2001 (16),-, ,1,26.05.2016,-,2016,28436
Darian Males,Rechtes Mittelfeld,03.05.2001 (16),"1,88m",links,4,27.04.2016,-,2016,28436
Julian Von Moos,Rechtes Mittelfeld,01.04.2001 (16),"1,81m",links,3,22.09.2015,-,2016,28436
Josip Brnic,Rechtes Mittelfeld,27.05.2002 (15),-,rechts,6,13.09.2016,-,2016,28436
Angelo Volken,Rechtes Mittelfeld,17.01.2002 (15),-, ,2,18.10.2016,-,2016,28436
Gabriele De Donno,Rechtes Mittelfeld,16.02.2002 (15),"1,93m",rechts,1,15.09.2016,-,2016,28436
Gabriel Di Noto,Linkes Mittelfeld,23.02.2001 (16),-, ,1,24.05.2016,-,2016,28436
Christian Witzig,Linkes Mittelfeld,09.01.2001 (16),"1,78m",rechts,1,26.05.2016,-,2016,28436
Fabian Rieder,Offensives Mittelfeld,16.02.2002 (15),"1,79m",links,7,13.09.2016,-,2016,28436
Sandro Di Nucci,Offensives Mittelfeld,18.01.2002 (15),"1,71m",links,3,20.10.2016,-,2016,28436
Bledian Krasniqi,Offensives Mittelfeld,17.06.2001 (16),"1,73m",rechts,2,27.04.2016,-,2016,28436
Randy Schneider,Offensives Mittelfeld,27.08.2001 (15),"1,70m",rechts,4,22.09.2015,-,2016,28436
Ashvin Rungasamy,Offensives Mittelfeld,09.08.2001 (15),"1,72m", ,3,27.04.2016,-,2016,28436
Sébastien Moulin,Offensives Mittelfeld,23.05.2002 (15),"1,77m",links,2,13.09.2016,-,2016,28436
Armando Waeber,Offensives Mittelfeld,01.11.2002 (14),"1,78m",links,1,15.09.2016,-,2016,28436
Fabio Solimando,Linksaußen,27.12.2001 (15),"1,72m",links,3,27.04.2016,-,2016,28436
Felix Mambimbi,Linksaußen,18.01.2001 (16),"1,71m",rechts,5,22.09.2015,-,2016,28436
Yannick Cotter,Linksaußen,03.01.2002 (15),"1,76m",links,5,13.09.2016,-,2016,28436
Guillaume Furrer,Linksaußen,28.01.2001 (16),"1,84m",rechts,-,,-,2016,28436
Felipe Borges,Linksaußen,01.01.2001 (16),"1,83m",rechts,4,22.09.2015,-,2016,28436
Abiran Sambasivam,Linksaußen,12.01.2002 (15),-, ,4,13.09.2016,-,2016,28436
Matteo Martorana,Rechtsaußen,24.02.2002 (15),"1,68m", ,1,13.09.2016,-,2016,28436
Michel de Jesus,Rechtsaußen,22.03.2001 (16),"1,76m",links,1,26.05.2016,-,2016,28436
Tician Tushi,Mittelstürmer,02.04.2001 (16),-, ,1,24.05.2016,-,2016,28436
Luca Bühlmann,Torwart,25.11.2000 (15),-, ,2,06.11.2014,-,2015,28436
Joschua Neuenschwander,Torwart,28.06.2000 (16),"1,83m", ,4,09.09.2014,-,2015,28436
André Pinheiro,Torwart,19.04.2001 (15),-, ,2,22.09.2015,-,2015,28436
