Name,Position,Birthdate,Height,Foot,GamesPlayed,Debut,Value,Year,Category,Age
Tugra Turhan,Mittelstürmer,2007-08-09,-, ,2,03.05.2022,0.0,2022,28436,17
Mahé Guaico,Sturm,2007-11-17,-, ,2,24.05.2022,0.0,2022,28436,16
Miguel Mardochée,Mittelstürmer,2007-05-22,"1,72m",links,2,03.05.2022,0.0,2022,28436,17
Fabio Titone Marques,Torwart,2004-02-05,"1,75m", ,2,07.05.2019,0.0,2019,28436,20
Brian Atangana,Torwart,2004-01-22,"1,88m",rechts,1,17.04.2019,0.0,2019,28436,20
Tim Spycher,Torwart,2004-04-13,"1,87m",rechts,2,16.04.2019,0.0,2019,28436,20
Lukas Steiner,Torwart,2004-01-10,-, ,1,08.05.2019,0.0,2019,28436,20
Mischa Beeli,Innenverteidiger,2004-02-05,"1,82m",rechts,2,16.04.2019,0.0,2019,28436,20
Santiago Pedrazzini,Innenverteidiger,2004-04-04,"1,86m", ,4,16.04.2019,0.0,2019,28436,20
Pascal Hammer,Innenverteidiger,2004-01-20,"1,84m",rechts,4,16.04.2019,0.0,2019,28436,20
Dion Dermaku,Innenverteidiger,2004-08-21,"1,88m",rechts,2,07.05.2019,0.0,2019,28436,20
Ramon Guzzo,Linker Verteidiger,2004-07-05,"1,76m",links,4,16.04.2019,0.0,2019,28436,20
Leny Meyer,Linker Verteidiger,2004-07-01,"1,82m",links,4,07.05.2019,0.0,2019,28436,20
Filipe Morais Alves,Linker Verteidiger,2004-01-04,-,links,2,07.05.2019,0.0,2019,28436,20
Exaucé Luwawa,Linker Verteidiger,2004-08-26,"1,73m",links,2,07.05.2019,0.0,2019,28436,20
Ledjan Sahitaj,Rechter Verteidiger,2004-01-12,"1,85m",rechts,2,21.05.2019,0.0,2019,28436,20
Ciril Pahud,Rechter Verteidiger,2004-03-25,-, ,4,16.04.2019,0.0,2019,28436,20
Ethan Brandy,Rechter Verteidiger,2004-11-10,"1,82m",rechts,2,07.05.2019,0.0,2019,28436,20
Leon Avdullahu,Defensives Mittelfeld,2004-02-23,"1,85m",rechts,4,16.04.2019,0.0,2019,28436,20
Joss Marques,Defensives Mittelfeld,2004-01-14,-, ,4,07.05.2019,0.0,2019,28436,20
Philipp Novakovic,Defensives Mittelfeld,2004-02-23,-, ,2,16.04.2019,0.0,2019,28436,20
Joël Mandaka,Zentrales Mittelfeld,2004-03-12,"1,70m",links,4,07.05.2019,0.0,2019,28436,20
Liburn Azemi,Zentrales Mittelfeld,2004-09-23,"1,83m", ,2,07.05.2019,0.0,2019,28436,20
Burak Alili,Zentrales Mittelfeld,2004-02-11,"1,80m", ,2,16.04.2019,0.0,2019,28436,20
Nathan Wicht,Zentrales Mittelfeld,2004-02-20,"1,85m",rechts,4,16.04.2019,0.0,2019,28436,20
Fred Annor-Mensah,Zentrales Mittelfeld,2004-08-26,-, ,4,16.04.2019,0.0,2019,28436,20
Liam Chipperfield,Zentrales Mittelfeld,2004-02-14,"1,78m",links,4,16.04.2019,0.0,2019,28436,20
Elias Maluvunu,Rechtes Mittelfeld,2004-08-03,"1,82m",rechts,3,16.04.2019,0.0,2019,28436,20
Francesco Di Maggio,Rechtes Mittelfeld,2004-03-18,"1,70m", ,2,16.04.2019,0.0,2019,28436,20
Robin Schneider,Rechtes Mittelfeld,2004-08-21,-, ,2,07.05.2019,0.0,2019,28436,20
Eric Jorge,Rechtes Mittelfeld,2004-02-06,-, ,2,07.05.2019,0.0,2019,28436,20
Levin Schneider,Rechtes Mittelfeld,2004-08-21,-, ,2,07.05.2019,0.0,2019,28436,20
Ronaldo Dantas Fernandes,Offensives Mittelfeld,2004-12-13,"1,69m",links,4,07.05.2019,0.0,2019,28436,19
Nik Dubler,Offensives Mittelfeld,2004-04-02,"1,71m", ,4,07.05.2019,0.0,2019,28436,20
Vincent Spari,Offensives Mittelfeld,2004-01-03,"1,80m",beidfüßig,2,16.04.2019,0.0,2019,28436,20
Samy Muhammad,Offensives Mittelfeld,2004-04-20,-, ,4,07.05.2019,0.0,2019,28436,20
Levy Maltet,Linksaußen,2004-06-27,"1,80m",links,2,07.05.2019,0.0,2019,28436,20
Luuk Breedijk,Linksaußen,2004-02-20,"1,85m",rechts,2,07.05.2019,0.0,2019,28436,20
Jared Lembo,Linksaußen,2004-04-08,"1,70m", ,2,16.04.2019,0.0,2019,28436,20
Edon Berisha,Linksaußen,2004-01-03,"1,80m",rechts,4,16.04.2019,0.0,2019,28436,20
Cristian Bleisch,Rechtsaußen,2004-04-20,"1,70m", ,4,16.04.2019,0.0,2019,28436,20
Silva Luvualo Simao,Mittelstürmer,2004-04-18,-, ,4,07.05.2019,0.0,2019,28436,20
Joel Campbell,Mittelstürmer,2004-02-05,-, ,2,21.05.2019,0.0,2019,28436,20
David Piffero,Mittelstürmer,2004-01-03,"1,87m",rechts,2,07.05.2019,0.0,2019,28436,20
Federico Crescenti,Mittelstürmer,2004-07-13,"1,73m",rechts,2,16.04.2019,0.0,2019,28436,20
Marvin Hübel,Torwart,2003-03-01,"1,86m",rechts,6,19.09.2017,0.25,2018,28436,21
Ysias Hummel,Torwart,2003-03-26,"1,80m", ,1,17.04.2018,0.0,2018,28436,21
Marko Bozinovic,Innenverteidiger,2003-02-10,"1,76m", ,4,19.09.2017,0.0,2018,28436,21
Christian Marques,Innenverteidiger,2003-01-15,"1,88m",rechts,6,19.09.2017,0.0,2018,28436,21
Albian Hajdari,Innenverteidiger,2003-05-18,"1,89m",links,4,17.04.2018,0.0,2018,28436,21
Bryan Okoh,Innenverteidiger,2003-05-16,"1,88m",links,8,19.09.2017,0.0,2018,28436,21
Mauricio Willimann,Innenverteidiger,2003-01-16,"1,83m",rechts,7,19.09.2017,0.0,2018,28436,21
Luis Mestre,Linker Verteidiger,2003-03-05,"1,74m",links,6,19.09.2017,0.0,2018,28436,21
Théo Magnin,Rechter Verteidiger,2003-08-09,"1,71m",rechts,7,19.09.2017,0.0,2018,28436,21
Alejandro Willimann,Defensives Mittelfeld,2003-01-16,"1,84m",rechts,4,17.10.2017,0.0,2018,28436,21
Besnik Shala,Defensives Mittelfeld,2003-05-13,"1,77m", ,7,19.09.2017,0.0,2018,28436,21
Evan Berrut,Defensives Mittelfeld,2003-03-24,"1,72m",links,5,19.09.2017,0.0,2018,28436,21
Miguel Reichmuth,Zentrales Mittelfeld,2003-10-26,"1,71m",rechts,6,19.09.2017,0.0,2018,28436,21
Luca Spina,Rechtes Mittelfeld,2003-02-22,"1,68m",links,2,17.04.2018,0.0,2018,28436,21
Dominic Maurer,Linkes Mittelfeld,2003-06-02,-, ,6,19.09.2017,0.0,2018,28436,21
Carmine Chiappetta,Linkes Mittelfeld,2003-03-09,"1,75m",rechts,7,19.09.2017,0.0,2018,28436,21
Joël Ribeiro,Offensives Mittelfeld,2003-02-14,"1,79m", ,7,19.09.2017,0.0,2018,28436,21
Kristian Sekularac,Offensives Mittelfeld,2003-12-07,"1,85m",rechts,7,19.09.2017,0.0,2018,28436,20
Till Mühlethaler,Mittelstürmer,2003-08-07,"1,80m", ,6,19.09.2017,0.0,2018,28436,21
Bradley Fink,Mittelstürmer,2003-04-17,"1,92m",links,7,19.09.2017,0.0,2018,28436,21
Momodou Jaiteh,Mittelstürmer,2004-11-27,"1,75m",rechts,8,19.09.2017,0.0,2018,28436,19
Kosta Makripodis,Torwart,2002-03-26,-, ,-,,0.0,2017,28436,22
Marvin Hübel,Torwart,2003-03-01,"1,86m",rechts,6,19.09.2017,0.0,2017,28436,21
Joël Bonorand,Torwart,2002-02-11,-, ,4,15.09.2016,0.0,2017,28436,22
Matthias Grob,Torwart,2003-02-20,"1,88m",rechts,4,19.09.2017,0.0,2017,28436,21
Leonidas Stergiou,Innenverteidiger,2002-03-03,"1,81m",rechts,6,13.09.2016,0.0,2017,28436,22
Louis Lurvink,Innenverteidiger,2002-01-24,"1,87m",rechts,2,16.05.2017,0.0,2017,28436,22
Noah Henchoz,Innenverteidiger,2002-02-22,"1,82m",rechts,2,25.04.2017,0.0,2017,28436,22
Marko Bozinovic,Innenverteidiger,2003-02-10,"1,76m", ,4,19.09.2017,0.0,2017,28436,21
Bung Tsai Freimann,Innenverteidiger,2002-07-04,"1,75m", ,4,15.09.2016,0.0,2017,28436,22
Christian Marques,Innenverteidiger,2003-01-15,"1,88m",rechts,6,19.09.2017,0.0,2017,28436,21
Mauricio Willimann,Innenverteidiger,2003-01-16,"1,83m",rechts,7,19.09.2017,0.0,2017,28436,21
Luca Jaquez,Innenverteidiger,2003-06-02,"1,87m",rechts,2,19.09.2017,0.0,2017,28436,21
Becir Omeragic,Innenverteidiger,2002-01-20,"1,87m",rechts,7,13.09.2016,0.0,2017,28436,22
Bryan Okoh,Innenverteidiger,2003-05-16,"1,88m",links,8,19.09.2017,0.0,2017,28436,21
Ludovic Delley,Linker Verteidiger,2002-06-29,-, ,4,,0.0,2017,28436,22
Théo Gradaille,Linker Verteidiger,2002-06-24,"1,77m",links,1,27.04.2017,0.0,2017,28436,22
Luis Mestre,Linker Verteidiger,2003-03-05,"1,74m",links,6,19.09.2017,0.0,2017,28436,21
Diego Corvalan,Rechter Verteidiger,2002-02-17,"1,78m",rechts,5,,0.0,2017,28436,22
Théo Magnin,Rechter Verteidiger,2003-08-09,"1,71m",rechts,7,19.09.2017,0.0,2017,28436,21
Evan Berrut,Defensives Mittelfeld,2003-03-24,"1,72m",links,5,19.09.2017,0.0,2017,28436,21
Cameron Prats,Defensives Mittelfeld,2002-05-29,-, ,5,13.09.2016,0.0,2017,28436,22
Alejandro Willimann,Defensives Mittelfeld,2003-01-16,"1,84m",rechts,4,17.10.2017,0.0,2017,28436,21
Joaquim Bitz,Defensives Mittelfeld,2002-11-25,"1,72m",rechts,-,,0.0,2017,28436,21
Yanis Ayad,Defensives Mittelfeld,2003-03-13,-, ,2,17.10.2017,0.0,2017,28436,21
Besnik Shala,Defensives Mittelfeld,2003-05-13,"1,77m", ,7,19.09.2017,0.0,2017,28436,21
Mischa Eberhard,Zentrales Mittelfeld,2002-04-11,"1,73m",rechts,4,18.10.2016,0.0,2017,28436,22
Miguel Reichmuth,Zentrales Mittelfeld,2003-10-26,"1,71m",rechts,6,19.09.2017,0.0,2017,28436,21
Mihailo Stevanovic,Zentrales Mittelfeld,2002-01-04,"1,86m",rechts,4,15.09.2016,0.0,2017,28436,22
Josip Brnic,Rechtes Mittelfeld,2002-05-27,-,rechts,6,13.09.2016,0.0,2017,28436,22
Kevin Jakob,Rechtes Mittelfeld,2002-05-30,"1,75m", ,1,27.04.2017,0.0,2017,28436,22
Carmine Chiappetta,Linkes Mittelfeld,2003-03-09,"1,75m",rechts,7,19.09.2017,0.0,2017,28436,21
Dominic Maurer,Linkes Mittelfeld,2003-06-02,-, ,6,19.09.2017,0.0,2017,28436,21
Kristian Sekularac,Offensives Mittelfeld,2003-12-07,"1,85m",rechts,7,19.09.2017,0.0,2017,28436,20
Sandro Di Nucci,Offensives Mittelfeld,2002-01-18,"1,71m",links,3,20.10.2016,0.0,2017,28436,22
Joël Ribeiro,Offensives Mittelfeld,2003-02-14,"1,79m", ,7,19.09.2017,0.0,2017,28436,21
Fabian Rieder,Offensives Mittelfeld,2002-02-16,"1,79m",links,7,13.09.2016,0.0,2017,28436,22
Sébastien Moulin,Offensives Mittelfeld,2002-05-23,"1,77m",links,2,13.09.2016,0.0,2017,28436,22
Noah Delacombaz,Linksaußen,2002-09-26,-, ,-,,0.0,2017,28436,22
Yannick Cotter,Linksaußen,2002-01-03,"1,76m",links,5,13.09.2016,0.0,2017,28436,22
Abiran Sambasivam,Linksaußen,2002-01-12,-, ,4,13.09.2016,0.0,2017,28436,22
Till Mühlethaler,Mittelstürmer,2003-08-07,"1,80m", ,6,19.09.2017,0.0,2017,28436,21
Jonathan De Donno,Mittelstürmer,2002-02-16,"1,93m",rechts,1,25.04.2017,0.0,2017,28436,22
Matteo Regillo,Mittelstürmer,2002-04-24,"1,71m", ,1,18.05.2017,0.0,2017,28436,22
Momodou Jaiteh,Mittelstürmer,2004-11-27,"1,75m",rechts,8,19.09.2017,0.0,2017,28436,19
Bradley Fink,Mittelstürmer,2003-04-17,"1,92m",links,7,19.09.2017,0.0,2017,28436,21
Noah Ruef,Sturm,2003-03-02,-, ,4,19.09.2017,0.0,2017,28436,21
Niklas Steffen,Torwart,2001-01-19,"1,87m",rechts,1,26.05.2016,0.0,2016,28436,23
Kosta Makripodis,Torwart,2002-03-26,-, ,-,,0.0,2016,28436,22
André Pinheiro,Torwart,2001-04-19,-, ,2,22.09.2015,0.0,2016,28436,23
Joël Bonorand,Torwart,2002-02-11,-, ,4,15.09.2016,0.0,2016,28436,22
Yuri-Gino Klein,Torwart,2001-01-25,"1,93m", ,1,26.05.2016,0.0,2016,28436,23
Lucio Soldini,Torwart,2001-04-05,"1,79m",rechts,-,,0.0,2016,28436,23
Leandro Zbinden,Torwart,2002-07-30,"1,86m",rechts,1,18.10.2016,0.0,2016,28436,22
Edin Omeragic,Torwart,2002-03-20,"1,97m",rechts,2,13.09.2016,0.0,2016,28436,22
Leonidas Stergiou,Innenverteidiger,2002-03-03,"1,81m",rechts,6,13.09.2016,0.0,2016,28436,22
Elias Mesonero,Innenverteidiger,2001-03-27,"1,85m",rechts,2,24.05.2016,0.0,2016,28436,23
Bung Tsai Freimann,Innenverteidiger,2002-07-04,"1,75m", ,4,15.09.2016,0.0,2016,28436,22
Elmedin Fazlic,Innenverteidiger,2002-07-18,"1,88m",links,1,15.09.2016,0.0,2016,28436,22
Becir Omeragic,Innenverteidiger,2002-01-20,"1,87m",rechts,7,13.09.2016,0.0,2016,28436,22
Brian Staubli,Innenverteidiger,2001-02-27,-, ,4,27.04.2016,0.0,2016,28436,23
Stevan Lujic,Linker Verteidiger,2002-03-25,"1,80m",links,3,13.09.2016,0.0,2016,28436,22
Ashvin Balaruban,Linker Verteidiger,2001-08-08,"1,76m",links,1,28.04.2016,0.0,2016,28436,23
Gianluca Romano,Linker Verteidiger,2001-06-12,"1,79m",rechts,6,22.09.2015,0.0,2016,28436,23
Daniele Del Fante,Linker Verteidiger,2002-01-22,-, ,1,20.10.2016,0.0,2016,28436,22
Jérôme Läubli,Linker Verteidiger,2001-03-28,"1,70m",links,4,22.09.2015,0.0,2016,28436,23
Robin Wildhaber,Linker Verteidiger,2002-01-30,"1,77m", ,3,13.09.2016,0.0,2016,28436,22
Lewin Blum,Rechter Verteidiger,2001-07-27,"1,81m",rechts,4,,0.0,2016,28436,23
Lukas Aeberli,Rechter Verteidiger,2001-01-03,-, ,1,28.04.2016,0.0,2016,28436,23
Ruben Correia,Rechter Verteidiger,2002-01-06,"1,66m",rechts,3,15.09.2016,0.0,2016,28436,22
Diego Corvalan,Rechter Verteidiger,2002-02-17,"1,78m",rechts,5,,0.0,2016,28436,22
Loïc Vlapamo,Rechter Verteidiger,2001-03-02,"1,72m", ,4,22.09.2015,0.0,2016,28436,23
Yannick Scheidegger,Defensives Mittelfeld,2001-05-03,"1,72m",links,1,26.05.2016,0.0,2016,28436,23
Adrian Durrer,Defensives Mittelfeld,2001-07-13,"1,88m",rechts,3,22.09.2015,0.0,2016,28436,23
Cameron Prats,Defensives Mittelfeld,2002-05-29,-, ,5,13.09.2016,0.0,2016,28436,22
David Mistrafovic,Defensives Mittelfeld,2001-05-25,"1,88m",links,2,28.04.2016,0.0,2016,28436,23
Jon Vula,Zentrales Mittelfeld,2002-01-12,"1,90m",rechts,2,13.09.2016,0.0,2016,28436,22
Stéphane Cueni,Zentrales Mittelfeld,2001-03-14,"1,80m",rechts,-,,0.0,2016,28436,23
Mathis Holcbecher,Zentrales Mittelfeld,2001-01-21,"1,84m", ,2,26.05.2016,0.0,2016,28436,23
Ricardo Alves,Zentrales Mittelfeld,2001-12-02,"1,77m",links,1,26.05.2016,0.0,2016,28436,22
Mihailo Stevanovic,Zentrales Mittelfeld,2002-01-04,"1,86m",rechts,4,15.09.2016,0.0,2016,28436,22
Glenn Hux,Zentrales Mittelfeld,2001-01-18,-, ,1,26.05.2016,0.0,2016,28436,23
Simon Sohm,Zentrales Mittelfeld,2001-04-11,"1,88m",rechts,1,28.04.2016,0.0,2016,28436,23
Mischa Eberhard,Zentrales Mittelfeld,2002-04-11,"1,73m",rechts,4,18.10.2016,0.0,2016,28436,22
Alexandre Jankewitz,Zentrales Mittelfeld,2001-12-25,"1,85m",rechts,5,22.09.2015,0.0,2016,28436,22
Orges Bunjaku,Zentrales Mittelfeld,2001-07-05,"1,80m",links,3,27.04.2016,0.0,2016,28436,23
Aramis Rohner,Rechtes Mittelfeld,2001-02-18,-, ,1,26.05.2016,0.0,2016,28436,23
Darian Males,Rechtes Mittelfeld,2001-05-03,"1,88m",links,4,27.04.2016,0.0,2016,28436,23
Julian Von Moos,Rechtes Mittelfeld,2001-04-01,"1,81m",links,3,22.09.2015,0.0,2016,28436,23
Josip Brnic,Rechtes Mittelfeld,2002-05-27,-,rechts,6,13.09.2016,0.0,2016,28436,22
Angelo Volken,Rechtes Mittelfeld,2002-01-17,-, ,2,18.10.2016,0.0,2016,28436,22
Gabriele De Donno,Rechtes Mittelfeld,2002-02-16,"1,93m",rechts,1,15.09.2016,0.0,2016,28436,22
Gabriel Di Noto,Linkes Mittelfeld,2001-02-23,-, ,1,24.05.2016,0.0,2016,28436,23
Christian Witzig,Linkes Mittelfeld,2001-01-09,"1,78m",rechts,1,26.05.2016,0.0,2016,28436,23
Fabian Rieder,Offensives Mittelfeld,2002-02-16,"1,79m",links,7,13.09.2016,0.0,2016,28436,22
Sandro Di Nucci,Offensives Mittelfeld,2002-01-18,"1,71m",links,3,20.10.2016,0.0,2016,28436,22
Bledian Krasniqi,Offensives Mittelfeld,2001-06-17,"1,73m",rechts,2,27.04.2016,0.0,2016,28436,23
Randy Schneider,Offensives Mittelfeld,2001-08-27,"1,70m",rechts,4,22.09.2015,0.0,2016,28436,23
Ashvin Rungasamy,Offensives Mittelfeld,2001-08-09,"1,72m", ,3,27.04.2016,0.0,2016,28436,23
Sébastien Moulin,Offensives Mittelfeld,2002-05-23,"1,77m",links,2,13.09.2016,0.0,2016,28436,22
Armando Waeber,Offensives Mittelfeld,2002-11-01,"1,78m",links,1,15.09.2016,0.0,2016,28436,22
Fabio Solimando,Linksaußen,2001-12-27,"1,72m",links,3,27.04.2016,0.0,2016,28436,22
Felix Mambimbi,Linksaußen,2001-01-18,"1,71m",rechts,5,22.09.2015,0.0,2016,28436,23
Yannick Cotter,Linksaußen,2002-01-03,"1,76m",links,5,13.09.2016,0.0,2016,28436,22
Guillaume Furrer,Linksaußen,2001-01-28,"1,84m",rechts,-,,0.0,2016,28436,23
Felipe Borges,Linksaußen,2001-01-01,"1,83m",rechts,4,22.09.2015,0.0,2016,28436,23
Abiran Sambasivam,Linksaußen,2002-01-12,-, ,4,13.09.2016,0.0,2016,28436,22
Matteo Martorana,Rechtsaußen,2002-02-24,"1,68m", ,1,13.09.2016,0.0,2016,28436,22
